clade_name	EFP1	EFP2	EFP3	EFP4	EK1	EK2	EK3	EK4	EHH1	EHH2	EHH3	EHH4	BM1	BM2	BM3	BM4	GS1	GS2	GS3	GS4	GN1
OFGB7550	73.91402	36.34321	17.68385	32.90434	50.70185	40.35946	64.40053	60.4678	61.03956	76.58318	63.02088	80.74096	0.01139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OFGB48799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01118	0.0	0.04432	0.0	0.0	0.0	0.0	0.0	0.0
OFGB72666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02489	0.0	0.0	0.01111	0.0	0.02326	0.04415	0.0	0.0	0.0	0.0	0.0
OFGB2404	0.03463	0.01425	0.06478	0.0	0.0	0.0	0.14381	0.0	0.02114	0.06666	0.05582	0.00179	0.01108	0.07853	0.02114	0.00143	0.04381	0.11889	0.11966	0.11364	0.0
Synergistales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01077	0.00018	0.00195	0.00978	0.0	0.0	0.0	0.0	0.0
OFGB51757	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00956	0.0	0.00979	0.07163	0.0	0.0	0.0	0.0	0.0
OFGB25970	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00813	0.0	0.00579	0.00686	0.0	0.0	0.0	0.0	0.0
OFGB58311	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00701	0.06702	0.03859	0.00957	0.0	0.24354	0.08699	0.0	0.0
OFGB77220	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0067	0.00476	0.01067	0.01187	0.0	0.0	0.0	0.0	0.0
OFGB61863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00666	0.0	0.00496	0.33488	0.0	0.0	0.02409	0.2237	0.0
OFGB13532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00537	0.04535	0.00342	0.03102	0.0	0.0	0.02311	0.0	0.0
OFGB38642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00499	0.00191	0.00969	0.01619	0.00393	0.13621	0.06934	0.01398	0.0
OFGB1360	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00389	0.03484	0.00233	0.0	0.0	0.0	0.02233	0.0	0.0
Mycobacteriales	0.10465	0.02485	0.03041	0.02384	0.0	0.0	0.0	0.0	0.00895	0.0	0.01609	0.0	0.00385	0.0	0.00481	0.0	0.0	0.0	0.0	0.0	0.0
OFGB78500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00296	0.0	0.20573	0.01314	0.0	0.0	0.0	0.0	0.0
OFGB10198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00275	0.00373	0.00053	0.01728	0.08487	0.02311	0.01763	0.00619	0.0
OFGB39764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00248	0.0	0.00612	0.0	0.0	0.02049	0.11999	0.02814	0.0
OFGB78521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00176	0.02326	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OFGB77640	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00139	0.00359	0.0038	0.00244	0.01713	0.1002	0.05528	0.11932	0.0
OFGB78693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00122	0.00549	0.00223	0.00398	0.0	0.0	0.0	0.0	0.0
OFGB49375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00115	0.004	0.0	0.0	0.0	0.0	0.00059	0.00014	0.0
OFGB50235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00111	0.01475	0.01973	0.00252	0.36263	1.40922	1.8463	0.25548	0.0
