Contig	EFP1	EFP2	EFP3	EFP4	EK1	EK2	EK3	EK4	EHH1	EHH2	EHH3	EHH4	BM1	BM2	BM3	BM4	GS1	GS2	GS3	GS4	GN1
BM1_k141_1018450	0	0	0	0	0	0	0	0	0	0	0	0	8	0	14	0	0	0	0	0	0
BM1_k141_101846	0	0	0	0	0	0	0	0	0	0	0	0	16	14	0	1	0	0	0	0	0
BM1_k141_1018498	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
BM1_k141_1018861	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
BM1_k141_1019609	0	0	0	0	0	0	0	0	0	0	0	0	7	1	2	0	0	0	0	0	0
BM1_k141_1019616	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0
BM1_k141_1019785	0	0	0	0	0	0	0	0	0	0	0	0	14	4	0	0	0	0	0	0	0
BM1_k141_1020078	0	0	0	0	0	0	0	0	0	0	0	0	9	0	2	5	0	0	0	0	0
BM1_k141_1020112	0	0	0	0	0	0	0	0	0	0	0	0	13	20	0	0	0	0	0	0	0
BM1_k141_1020246	0	0	0	0	0	0	0	0	0	0	0	0	8	0	2	4	0	0	0	0	0
BM1_k141_1020281	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0
BM1_k141_1020368	0	0	0	0	0	0	0	0	0	0	0	0	7	6	3	3	19	7	7	10	0
BM1_k141_1020471	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0
BM1_k141_1020495	0	0	0	0	0	0	0	0	0	0	0	0	16	0	2	0	0	0	0	0	0
BM1_k141_1020557	0	0	0	0	0	0	0	0	0	0	0	0	4	10	0	0	0	0	0	0	0
BM1_k141_1020596	0	0	0	0	0	0	0	0	0	0	0	0	139	100	26	0	0	0	0	0	0
BM1_k141_1020858	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
BM1_k141_1020924	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	1	0	0	0	0	0
BM1_k141_1021155	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	2	0	0	0	0	0
BM1_k141_102118	0	0	0	0	0	0	0	0	0	0	0	0	59	52	0	2	0	0	0	0	0
BM1_k141_1021227	0	0	0	0	0	0	0	0	0	0	0	0	6	0	9	0	0	0	0	0	0
BM1_k141_1021298	0	0	0	0	0	0	0	0	0	0	0	0	9	8	6	0	0	0	0	0	0
BM1_k141_1021354	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	10	0	0	0	0	0
BM1_k141_1021389	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0
BM1_k141_1021481	0	0	0	0	0	0	0	0	0	0	0	0	15	0	8	0	0	0	0	0	0
BM1_k141_1021711	0	0	0	0	0	0	0	0	0	0	0	0	46	0	48	102	2	0	0	0	0
BM1_k141_1021932	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0
BM1_k141_1022077	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0
BM1_k141_1022322	0	0	0	0	0	0	0	0	0	0	0	0	18	2	20	17	0	0	0	0	0
BM1_k141_1022467	0	0	0	0	0	0	0	0	0	0	0	0	14	0	7	5	0	0	0	0	0
BM1_k141_102315	0	0	0	0	0	0	0	0	0	0	0	0	10	1	7	5	0	0	0	0	0
BM1_k141_1023170	0	0	0	0	0	0	0	0	0	0	0	0	35	14	44	2	0	0	0	0	0
BM1_k141_1023228	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	3	0	0	0	0	0
BM1_k141_1023243	0	0	0	0	0	0	0	0	0	0	0	0	30	31	4	0	0	0	0	0	0
BM1_k141_102333	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	10	0	0	0	0	0
BM1_k141_1023469	0	0	0	0	0	0	0	0	0	0	0	0	17	0	16	0	0	0	0	0	0
BM1_k141_102375	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
BM1_k141_1023954	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0	0
BM1_k141_102414	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
BM1_k141_1024194	0	0	0	0	0	0	0	0	0	0	0	0	22	3	19	32	0	0	0	0	0
BM1_k141_102422	0	0	0	0	0	0	0	0	0	0	0	0	7	0	2	13	0	0	0	0	0
BM1_k141_1024224	0	0	0	0	0	0	0	0	0	0	0	0	33	18	11	0	0	0	0	0	0
BM1_k141_1024244	0	0	0	0	0	0	0	0	0	0	0	0	7	0	2	0	0	0	0	0	0
BM1_k141_1024987	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
BM1_k141_1025051	0	0	0	0	0	0	0	0	0	0	0	0	16	0	2	0	0	0	0	2	0
BM1_k141_1025164	0	0	0	0	0	0	0	0	0	0	0	0	23	2	6	1	0	0	0	0	0
BM1_k141_1025300	0	0	0	0	0	0	0	0	0	0	0	0	6	0	9	0	0	0	0	0	0
BM1_k141_10258	0	0	0	0	0	0	0	0	0	0	0	0	11	3	0	0	0	0	0	0	0
BM1_k141_1025836	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0
BM1_k141_1025843	0	0	0	0	0	0	0	0	0	0	0	0	13	2	2	1	0	0	0	0	0
BM1_k141_102592	0	0	0	0	0	0	0	0	0	0	0	0	66	0	55	0	0	0	0	0	0
BM1_k141_102593	0	0	0	0	0	0	0	0	0	0	0	0	13	2	0	0	0	0	0	0	0
BM1_k141_1026023	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
BM1_k141_1026228	0	0	0	0	0	0	0	0	0	0	0	0	15	0	11	0	0	0	0	0	0
BM1_k141_1026466	0	0	0	0	0	0	0	0	0	0	0	0	16	25	2	0	0	0	0	0	0
BM1_k141_1026490	0	0	0	0	0	0	0	0	0	0	0	0	5	1	15	37	0	0	0	0	0
BM1_k141_102658	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
BM1_k141_1026709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	0	0	0	0	0
BM1_k141_1026726	0	0	0	0	0	0	0	0	0	0	0	0	27	0	10	11	0	0	0	0	0
BM1_k141_1026910	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
BM1_k141_1026937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0
BM1_k141_1026940	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0
BM1_k141_1027462	0	0	0	0	0	0	0	0	0	0	0	0	8	0	2	4	0	0	0	0	0
BM1_k141_102754	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0
BM1_k141_1027754	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0
BM1_k141_1027888	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
BM1_k141_1028310	0	0	0	0	0	0	0	0	0	0	0	0	18	1	0	0	0	0	0	0	0
BM1_k141_1028447	0	0	0	0	0	0	0	0	0	0	0	0	38	18	61	54	0	0	0	0	0
BM1_k141_1028633	0	0	0	0	0	0	0	0	0	0	0	0	6	0	6	2	0	0	0	0	0
BM1_k141_1028848	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0
BM1_k141_1028993	0	0	0	0	0	0	0	0	0	0	0	0	44	16	0	0	0	0	0	0	0
BM1_k141_1029083	0	0	0	0	0	0	0	0	0	0	0	0	31	20	5	4	73	30	30	6	0
BM1_k141_1029124	0	0	0	0	0	0	0	0	0	0	0	0	50	0	27	0	0	0	0	0	0
BM1_k141_1029279	0	0	0	0	0	0	0	0	0	0	0	0	219	962	0	0	0	0	0	0	0
BM1_k141_1029291	0	0	0	0	0	0	0	0	0	0	0	0	21	23	14	15	0	0	0	0	0
BM1_k141_1029550	0	0	0	0	0	0	0	0	0	0	0	0	16	0	6	0	0	0	0	0	0
