clade_name	EFP1	EFP2	EFP3	EFP4	EK1	EK2	EK3	EK4	EHH1	EHH2	EHH3	EHH4	BM1	BM2	BM3	BM4	GS1	GS2	GS3	GS4	GN1
GGB74363_SGB113775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36991	0.40053	1.66712	0.01696	0.0	0.0	0.0	0.0	0.0
GGB61862_SGB83991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36751	0.07917	1.10259	1.03503	0.0	0.0	0.0	0.0	0.0
GGB53080_SGB114530	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36182	1.47608	0.37187	0.35407	0.0	0.0	0.0	0.0	0.0
GGB81701_SGB112896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36065	0.52019	0.44276	0.09083	0.0	0.0	0.0	0.0	0.0
GGB82170_SGB208770	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36034	1.08721	0.54749	0.09317	0.0	0.0	0.0	0.0	0.0
GGB56461_SGB112353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35148	0.53046	0.45317	0.25876	0.0	0.0	0.0	0.0	0.0
GGB82177_SGB113631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34822	0.0083	0.00423	0.0	0.0	0.0	0.0	0.0	0.0
GGB36256_SGB48155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34579	0.69621	0.22903	0.6548	0.0	0.0	0.0	0.0	0.0
GGB84716_SGB120483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34209	0.05401	0.35066	0.25612	0.0	0.0	0.0	0.0	0.0
GGB70823_SGB95271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33112	0.11838	0.25239	0.212	0.0	0.0	0.08136	0.36136	0.0
Arthrobacter_sp_BL_252_APC_1A	0.10758	0.83118	1.44495	0.86352	0.00399	0.0	0.0	0.0	1.04565	0.0	0.0	0.0	0.32933	0.50421	0.52592	0.15256	0.05555	0.17983	0.04	0.00375	0.0
GGB56323_SGB113184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32516	0.67234	0.28068	0.17897	0.0	0.0	0.0	0.0	0.0
GGB24202_SGB112124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32228	0.0	0.56013	0.0	0.0	0.0	0.0	0.0	0.0
GGB84739_SGB120632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3169	0.11917	0.17267	0.7388	0.0	0.02115	0.0041	0.06332	0.0
GGB84844_SGB120714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31137	0.04599	0.02795	0.0	0.0	0.0	0.0	0.0	0.0
